accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.4872449040412903,0.5178259015083313,0.8337379693984985,0.010204081423580647,0.0,1.076201319694519
0.6479591727256775,0.6206614971160889,0.6516589522361755,0.15306122601032257,0.0,0.8637669086456299
0.6645408272743225,0.6883659362792969,0.6104694604873657,0.37244898080825806,0.0,0.8104692697525024
0.704081654548645,0.7426245808601379,0.5733131170272827,0.4285714328289032,0.0,0.8136618733406067
0.7104591727256775,0.7355026006698608,0.5829434990882874,0.4693877696990967,0.0,0.8034625053405762
0.7117347121238708,0.7367624640464783,0.5787860155105591,0.5,0.0,0.7753804326057434
0.7053571343421936,0.7654414772987366,0.5573845505714417,0.5612244606018066,0.0,0.7216184735298157
0.704081654548645,0.7642475366592407,0.5573820471763611,0.5510203838348389,0.0,0.749482274055481
0.7410714030265808,0.7844196557998657,0.5389646887779236,0.5969387888908386,0.0,0.702806830406189
0.7206632494926453,0.7954949140548706,0.5279853940010071,0.6173469424247742,0.0,0.6694382429122925
0.7181122303009033,0.7766555547714233,0.5457577705383301,0.6785714030265808,0.0,0.6055883169174194
0.7244898080825806,0.7785228490829468,0.5414513349533081,0.6122449040412903,0.0,0.6965080499649048
0.7359693646430969,0.8021379709243774,0.5207432508468628,0.6479591727256775,0.0,0.6412429213523865
0.7640306353569031,0.7986845970153809,0.5277419090270996,0.6275510191917419,0.0,0.6559030413627625
0.7589285969734192,0.8176870942115784,0.5042592287063599,0.6071428656578064,0.0,0.6833710670471191
0.7831632494926453,0.8163439035415649,0.5075133442878723,0.7091836929321289,0.0,0.560816764831543
0.7806122303009033,0.836418867111206,0.48347195982933044,0.6887755393981934,0.0,0.5764352679252625
0.766581654548645,0.8043419122695923,0.5164818167686462,0.7091836929321289,0.0,0.5690732598304749
0.7614796161651611,0.8228620290756226,0.4945978820323944,0.7244898080825806,0.0,0.5350791215896606
0.7716836929321289,0.8199986219406128,0.5032255053520203,0.7397959232330322,0.0,0.5250757336616516
0.7716836929321289,0.8249201774597168,0.49616333842277527,0.7193877696990967,0.0,0.5389122366905212
0.7818877696990967,0.8405178785324097,0.47767725586891174,0.6887755393981934,0.0,0.5743247866630554
0.7780612111091614,0.8326911926269531,0.4854677617549896,0.7142857313156128,0.0,0.5393339395523071
0.7614796161651611,0.8265930414199829,0.49301397800445557,0.704081654548645,0.0,0.5669933557510376
0.7869898080825806,0.8354539275169373,0.4805190861225128,0.7193877696990967,0.0,0.5419902205467224
0.7857142686843872,0.8449535369873047,0.4724043905735016,0.7142857313156128,0.0,0.5529242753982544
0.7984693646430969,0.8462862968444824,0.4684729278087616,0.704081654548645,0.0,0.5570621490478516
0.7806122303009033,0.8463799953460693,0.4683665931224823,0.7397959232330322,0.0,0.5234144330024719
0.7882652878761292,0.8554282784461975,0.4564191401004791,0.7346938848495483,0.0,0.5224716067314148
0.8035714030265808,0.8509544730186462,0.4638407230377197,0.7193877696990967,0.0,0.5328543186187744
0.795918345451355,0.8523115515708923,0.45896661281585693,0.7551020383834839,0.0,0.4888589382171631
0.7869898080825806,0.8589684963226318,0.4538731873035431,0.7193877696990967,0.0,0.5285580158233643
0.7882652878761292,0.8579584956169128,0.4474078118801117,0.7448979616165161,0.0,0.48787081241607666
0.7997449040412903,0.8523080348968506,0.45729002356529236,0.7295918464660645,0.0,0.5096043944358826
0.8010203838348389,0.8609919548034668,0.445894330739975,0.7346938848495483,0.0,0.4983285367488861
0.7984693646430969,0.8668541312217712,0.43667542934417725,0.7397959232330322,0.0,0.5131062269210815
0.8073979616165161,0.8682701587677002,0.4389863610267639,0.7806122303009033,0.0,0.43937987089157104
0.8137755393981934,0.8746078014373779,0.42682403326034546,0.7551020383834839,0.0,0.47400185465812683
0.793367326259613,0.8702103495597839,0.4345039427280426,0.7244898080825806,0.0,0.526996910572052
0.8022959232330322,0.8655734062194824,0.4390695095062256,0.7908163070678711,0.0,0.44051051139831543
0.8073979616165161,0.8659030795097351,0.43629637360572815,0.7551020383834839,0.0,0.5138855576515198
0.8035714030265808,0.8667013645172119,0.44015321135520935,0.7653061151504517,0.0,0.4673669636249542
0.8137755393981934,0.8806434869766235,0.41506871581077576,0.7653061151504517,0.0,0.44991621375083923
0.8176020383834839,0.8695890307426453,0.4365561306476593,0.75,0.0,0.4806590676307678
0.8048469424247742,0.8674788475036621,0.4412264823913574,0.7857142686843872,0.0,0.46092846989631653
0.8201530575752258,0.8850374221801758,0.41122767329216003,0.8010203838348389,0.0,0.4333000183105469
0.8150510191917419,0.8872761726379395,0.40658771991729736,0.8112244606018066,0.0,0.4247744679450989
0.8303571343421936,0.8839372992515564,0.4135477840900421,0.8112244606018066,0.0,0.41610878705978394
0.7908163070678711,0.8614778518676758,0.4434765875339508,0.8061224222183228,0.0,0.43500229716300964
0.8265306353569031,0.8989691734313965,0.39188724756240845,0.8010203838348389,0.0,0.44202151894569397
