feature_index,importance
0,0.16370891133801851
20,0.07544073236878193
1,0.07180500000619132
4,0.0692874681912074
5,0.06820724662831096
12,0.06055612426961431
2,0.06031889756565218
7,0.04840792084632395
6,0.046683331232828106
3,0.03960626905142344
10,0.03824471741385595
11,0.029984124628384463
23,0.0289914334237422
13,0.027976078679870234
8,0.025133774877241607
21,0.023061007224701058
15,0.022512521813449024
14,0.02205607183475479
22,0.019107057871020582
18,0.016091566669976964
16,0.015007502953943668
9,0.014121173117425027
17,0.009889088149652024
19,0.0038019798436302833
