rounds,accuracy,f1_score,roc_auc,precision,recall
1,0.6466666666666666,0.5137614678899083,0.6908465608465608,0.4375,0.6222222222222222
2,0.6666666666666666,0.5412844036697247,0.7110582010582011,0.4609375,0.6555555555555556
3,0.72,0.5882352941176471,0.7403703703703703,0.5263157894736842,0.6666666666666666
4,0.73,0.6161137440758294,0.7447089947089948,0.5371900826446281,0.7222222222222222
5,0.73,0.6009852216748769,0.7485714285714286,0.5398230088495575,0.6777777777777778
6,0.7266666666666667,0.5858585858585859,0.7517460317460316,0.5370370370370371,0.6444444444444445
7,0.72,0.5882352941176471,0.7568253968253968,0.5263157894736842,0.6666666666666666
8,0.7133333333333334,0.5784313725490197,0.7552380952380953,0.5175438596491229,0.6555555555555556
9,0.7333333333333333,0.5918367346938775,0.7599470899470899,0.5471698113207547,0.6444444444444445
10,0.73,0.592964824120603,0.7602645502645502,0.5412844036697247,0.6555555555555556
11,0.7333333333333333,0.6,0.7647619047619048,0.5454545454545454,0.6666666666666666
12,0.74,0.61,0.7615343915343916,0.5545454545454546,0.6777777777777778
13,0.74,0.6060606060606061,0.7626455026455027,0.5555555555555556,0.6666666666666666
14,0.74,0.6060606060606061,0.7622222222222222,0.5555555555555556,0.6666666666666666
15,0.7366666666666667,0.5989847715736041,0.7553439153439153,0.5514018691588785,0.6555555555555556
16,0.7333333333333333,0.5876288659793815,0.7533333333333333,0.5480769230769231,0.6333333333333333
17,0.7166666666666667,0.5728643216080402,0.7501058201058202,0.5229357798165137,0.6333333333333333
18,0.72,0.5578947368421052,0.7510582010582011,0.53,0.5888888888888889
19,0.6966666666666667,0.542713567839196,0.7490476190476191,0.4954128440366973,0.6
20,0.6966666666666667,0.542713567839196,0.7459259259259259,0.4954128440366973,0.6
